,attachment_id,location_key,id1,id2,temp,id3
0,2,forums_Forums,47,204,,
1,3,forums_Forums,47,204,,
2,4,forums_Forums,47,204,,
3,5,forums_Forums,47,204,,
4,6,forums_Forums,47,204,,
5,7,forums_Forums,47,204,,
6,8,forums_Forums,47,204,,
7,9,forums_Forums,47,205,,
8,10,forums_Forums,47,205,,
9,11,forums_Forums,47,205,,
10,12,forums_Forums,47,205,,
11,13,forums_Forums,47,205,,
12,14,forums_Forums,47,205,,
13,15,forums_Forums,47,205,,
14,16,forums_Forums,47,205,,
15,17,forums_Forums,47,205,,
16,18,forums_Forums,11,208,,
17,19,forums_Forums,11,208,,
18,20,forums_Forums,11,208,,
19,21,forums_Forums,11,208,,
20,22,forums_Forums,11,208,,
21,23,forums_Forums,11,208,,
22,24,forums_Forums,11,208,,
23,25,forums_Forums,11,208,,
24,26,forums_Forums,11,208,,
25,27,forums_Forums,11,208,,
26,28,forums_Forums,62,213,,
27,30,forums_Forums,62,213,,
28,31,forums_Forums,47,244,,
29,32,forums_Forums,47,244,,
30,33,forums_Forums,47,244,,
31,34,forums_Forums,47,244,,
32,35,forums_Forums,47,244,,
33,36,forums_Forums,47,265,,
34,37,forums_Forums,47,265,,
35,38,forums_Forums,62,308,,
36,39,forums_Forums,62,308,,
37,40,forums_Forums,77,315,,
38,41,forums_Forums,62,322,,
39,42,forums_Forums,62,326,,
40,44,forums_Forums,62,326,,
41,45,forums_Forums,62,402,,
42,92,forums_Forums,3751,695,,
43,93,forums_Forums,3751,695,,
44,94,forums_Forums,3751,695,,
45,95,forums_Forums,3751,695,,
46,96,forums_Forums,3751,695,,
47,97,forums_Forums,3751,695,,
48,98,forums_Forums,3751,695,,
49,99,forums_Forums,3751,695,,
50,100,forums_Forums,3751,695,,
51,101,forums_Forums,3751,695,,
52,102,forums_Forums,3751,695,,
53,103,forums_Forums,3751,695,,
54,104,forums_Forums,3751,695,,
55,105,forums_Forums,3751,695,,
56,106,forums_Forums,3751,695,,
57,107,forums_Forums,3751,695,,
58,108,forums_Forums,3751,695,,
59,109,forums_Forums,3751,695,,
60,110,forums_Forums,3751,695,,
61,112,forums_Forums,140,1034,,
62,130,forums_Forums,197,1923,,
63,279,forums_Forums,509,8346,,
64,280,forums_Forums,509,8346,,
65,282,forums_Forums,509,8780,,
66,283,forums_Forums,532,8919,,
67,284,forums_Forums,416,9181,,
68,285,forums_Forums,416,9181,,
69,286,forums_Forums,416,9181,,
70,287,forums_Forums,416,9181,,
71,288,forums_Forums,646,11925,,
72,289,forums_Forums,646,11925,,
73,290,forums_Forums,646,11925,,
74,291,forums_Forums,646,11925,,
75,292,forums_Forums,646,11925,,
76,305,forums_Forums,243,16986,,
77,306,forums_Forums,243,16986,,
78,307,forums_Forums,243,16986,,
79,308,forums_Forums,243,16986,,
80,309,forums_Forums,243,16986,,
81,310,forums_Forums,243,16986,,
82,311,forums_Forums,243,16986,,
83,312,forums_Forums,243,16986,,
84,313,forums_Forums,909,20270,,
85,316,forums_Forums,1159,28086,,
86,317,forums_Forums,1196,30243,,
87,318,forums_Forums,1261,31474,,
88,320,forums_Forums,1442,36405,,
89,323,forums_Forums,3467,36790,,
90,324,forums_Forums,3467,36790,,
91,325,forums_Forums,1605,40833,,
92,326,forums_Forums,1605,40833,,
93,327,forums_Forums,310,42378,,
94,331,forums_Forums,1853,47489,,
95,332,forums_Forums,1885,48864,,
96,335,forums_Forums,2000,51027,,
97,336,forums_Forums,1693,51689,,
98,337,forums_Forums,1693,51689,,
99,338,forums_Forums,2111,52930,,
100,345,forums_Forums,2307,55396,,
